Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,225,1006.5,0.00099353,110.72,133.37,0.38658,4.0598,4.1214,1539.6,-0.040053,852.45,0.62179,liquid,-1.83,20.72,-0.00648000000000004
300,226,1006.6,0.00099349,110.71,133.46,0.38655,4.0595,4.1212,1539.8,-0.040052,852.45,0.62184,liquid,-1.84,20.81,-0.00651000000000002
300,227,1006.6,0.00099345,110.71,133.56,0.38652,4.0592,4.121,1539.9,-0.040052,852.45,0.62189,liquid,-1.84,20.91,-0.00654000000000005
300,228,1006.6,0.0009934,110.7,133.65,0.38649,4.0589,4.1207,1540.1,-0.040051,852.45,0.62195,liquid,-1.84999999999999,21,-0.00657000000000002
300,229,1006.7,0.00099336,110.69,133.74,0.38646,4.0586,4.1205,1540.3,-0.040051,852.44,0.622,liquid,-1.86,21.09,-0.0066
300,230,1006.7,0.00099332,110.68,133.83,0.38643,4.0583,4.1202,1540.5,-0.04005,852.44,0.62205,liquid,-1.86999999999999,21.18,-0.00663000000000003
300,231,1006.8,0.00099328,110.67,133.92,0.38641,4.058,4.12,1540.6,-0.040049,852.44,0.6221,liquid,-1.88,21.27,-0.00665000000000005
300,232,1006.8,0.00099323,110.67,134.01,0.38638,4.0577,4.1197,1540.8,-0.040049,852.44,0.62216,liquid,-1.88,21.36,-0.00668000000000002
300,233,1006.9,0.00099319,110.66,134.11,0.38635,4.0574,4.1195,1541,-0.040048,852.44,0.62221,liquid,-1.89,21.46,-0.00670999999999999
300,234,1006.9,0.00099315,110.65,134.2,0.38632,4.0571,4.1193,1541.1,-0.040048,852.43,0.62226,liquid,-1.89999999999999,21.55,-0.00674000000000002
300,235,1006.9,0.00099311,110.64,134.29,0.38629,4.0568,4.119,1541.3,-0.040047,852.43,0.62232,liquid,-1.91,21.64,-0.00677
300,236,1007,0.00099306,110.63,134.38,0.38626,4.0565,4.1188,1541.5,-0.040046,852.43,0.62237,liquid,-1.92,21.73,-0.00680000000000003
300,237,1007,0.00099302,110.63,134.47,0.38623,4.0562,4.1185,1541.6,-0.040046,852.43,0.62242,liquid,-1.92,21.82,-0.00683
300,238,1007.1,0.00099298,110.62,134.56,0.3862,4.0559,4.1183,1541.8,-0.040045,852.43,0.62247,liquid,-1.92999999999999,21.91,-0.00686000000000003
300,239,1007.1,0.00099293,110.61,134.66,0.38617,4.0557,4.118,1542,-0.040044,852.42,0.62253,liquid,-1.94,22.01,-0.00689000000000001
300,240,1007.2,0.00099289,110.6,134.75,0.38614,4.0554,4.1178,1542.1,-0.040044,852.42,0.62258,liquid,-1.95,22.1,-0.00692000000000004
300,241,1007.2,0.00099285,110.59,134.84,0.38611,4.0551,4.1176,1542.3,-0.040043,852.42,0.62263,liquid,-1.95999999999999,22.19,-0.00695000000000001
300,242,1007.2,0.00099281,110.59,134.93,0.38608,4.0548,4.1173,1542.5,-0.040043,852.42,0.62268,liquid,-1.95999999999999,22.28,-0.00698000000000004
300,243,1007.3,0.00099276,110.58,135.02,0.38605,4.0545,4.1171,1542.7,-0.040042,852.42,0.62274,liquid,-1.97,22.37,-0.00701000000000002
300,244,1007.3,0.00099272,110.57,135.11,0.38602,4.0542,4.1168,1542.8,-0.040041,852.41,0.62279,liquid,-1.98,22.46,-0.00704000000000005
300,245,1007.4,0.00099268,110.56,135.21,0.38599,4.0539,4.1166,1543,-0.040041,852.41,0.62284,liquid,-1.98999999999999,22.56,-0.00707000000000002
300,246,1007.4,0.00099264,110.55,135.3,0.38596,4.0536,4.1164,1543.2,-0.04004,852.41,0.62289,liquid,-2,22.65,-0.0071
300,247,1007.5,0.00099259,110.55,135.39,0.38593,4.0533,4.1161,1543.3,-0.040039,852.41,0.62295,liquid,-2,22.74,-0.00713000000000003
300,248,1007.5,0.00099255,110.54,135.48,0.3859,4.053,4.1159,1543.5,-0.040039,852.41,0.623,liquid,-2.00999999999999,22.83,-0.00716
300,249,1007.5,0.00099251,110.53,135.57,0.38587,4.0527,4.1157,1543.7,-0.040038,852.41,0.62305,liquid,-2.02,22.92,-0.00719000000000003
300,250,1007.6,0.00099247,110.52,135.66,0.38584,4.0524,4.1154,1543.8,-0.040038,852.4,0.6231,liquid,-2.03,23.01,-0.00722
300,251,1007.6,0.00099242,110.52,135.76,0.38581,4.0521,4.1152,1544,-0.040037,852.4,0.62316,liquid,-2.03,23.11,-0.00725000000000003
300,252,1007.7,0.00099238,110.51,135.85,0.38577,4.0519,4.1149,1544.2,-0.040036,852.4,0.62321,liquid,-2.03999999999999,23.2,-0.00729000000000002
300,253,1007.7,0.00099234,110.5,135.94,0.38574,4.0516,4.1147,1544.3,-0.040036,852.4,0.62326,liquid,-2.05,23.29,-0.00731999999999999
300,254,1007.8,0.0009923,110.49,136.03,0.38571,4.0513,4.1145,1544.5,-0.040035,852.4,0.62331,liquid,-2.06,23.38,-0.00735000000000002
300,255,1007.8,0.00099225,110.48,136.12,0.38568,4.051,4.1142,1544.7,-0.040034,852.4,0.62337,liquid,-2.06999999999999,23.47,-0.00738
300,256,1007.8,0.00099221,110.48,136.21,0.38565,4.0507,4.114,1544.9,-0.040034,852.4,0.62342,liquid,-2.06999999999999,23.56,-0.00741000000000003
300,257,1007.9,0.00099217,110.47,136.3,0.38562,4.0504,4.1137,1545,-0.040033,852.39,0.62347,liquid,-2.08,23.65,-0.00744
300,258,1007.9,0.00099213,110.46,136.4,0.38559,4.0501,4.1135,1545.2,-0.040032,852.39,0.62352,liquid,-2.09,23.75,-0.00747000000000003
300,259,1008,0.00099208,110.45,136.49,0.38556,4.0498,4.1133,1545.4,-0.040032,852.39,0.62358,liquid,-2.09999999999999,23.84,-0.00750000000000001
300,260,1008,0.00099204,110.44,136.58,0.38553,4.0495,4.113,1545.5,-0.040031,852.39,0.62363,liquid,-2.11,23.93,-0.00753000000000004
300,261,1008.1,0.000992,110.44,136.67,0.3855,4.0492,4.1128,1545.7,-0.040031,852.39,0.62368,liquid,-2.11,24.02,-0.00756000000000001
300,262,1008.1,0.00099196,110.43,136.76,0.38547,4.049,4.1126,1545.9,-0.04003,852.39,0.62373,liquid,-2.11999999999999,24.11,-0.00759000000000004
300,263,1008.2,0.00099191,110.42,136.85,0.38544,4.0487,4.1123,1546,-0.040029,852.39,0.62379,liquid,-2.13,24.2,-0.00762000000000002
300,264,1008.2,0.00099187,110.41,136.94,0.38541,4.0484,4.1121,1546.2,-0.040029,852.38,0.62384,liquid,-2.14,24.29,-0.00765000000000005
300,265,1008.2,0.00099183,110.4,137.04,0.38538,4.0481,4.1118,1546.4,-0.040028,852.38,0.62389,liquid,-2.14999999999999,24.39,-0.00768000000000002
300,266,1008.3,0.00099179,110.4,137.13,0.38535,4.0478,4.1116,1546.6,-0.040027,852.38,0.62394,liquid,-2.14999999999999,24.48,-0.00771
300,267,1008.3,0.00099175,110.39,137.22,0.38532,4.0475,4.1114,1546.7,-0.040027,852.38,0.624,liquid,-2.16,24.57,-0.00774000000000003
300,268,1008.4,0.0009917,110.38,137.31,0.38529,4.0472,4.1111,1546.9,-0.040026,852.38,0.62405,liquid,-2.17,24.66,-0.00777
300,269,1008.4,0.00099166,110.37,137.4,0.38526,4.0469,4.1109,1547.1,-0.040025,852.38,0.6241,liquid,-2.17999999999999,24.75,-0.00780000000000003
300,270,1008.5,0.00099162,110.36,137.49,0.38523,4.0466,4.1107,1547.2,-0.040025,852.38,0.62415,liquid,-2.19,24.84,-0.00783
300,271,1008.5,0.00099158,110.36,137.58,0.3852,4.0464,4.1104,1547.4,-0.040024,852.38,0.6242,liquid,-2.19,24.93,-0.00786000000000003
300,272,1008.5,0.00099153,110.35,137.68,0.38517,4.0461,4.1102,1547.6,-0.040024,852.38,0.62426,liquid,-2.2,25.03,-0.00789000000000001
300,273,1008.6,0.00099149,110.34,137.77,0.38514,4.0458,4.11,1547.7,-0.040023,852.38,0.62431,liquid,-2.20999999999999,25.12,-0.00792000000000004
300,274,1008.6,0.00099145,110.33,137.86,0.38511,4.0455,4.1097,1547.9,-0.040022,852.37,0.62436,liquid,-2.22,25.21,-0.00795000000000001
