Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
1350,100,16.323,0.061262,4189.4,4810.2,7.9786,2.0834,2.5792,875.03,0.17414,51.032,0.15464,vapor,4189.23941,4799.956,7.97810565
1360,100,16.198,0.061734,4210.5,4836,7.9977,2.0891,2.584,878.15,0.17012,undefined,undefined,vapor,4210.33941,4825.756,7.99720565
1370,100,16.076,0.062206,4231.5,4861.8,8.0166,2.0948,2.5889,881.26,0.16621,undefined,undefined,vapor,4231.33941,4851.556,8.01610565
1380,100,15.955,0.062677,4252.7,4887.8,8.0354,2.1004,2.5938,884.36,0.1624,undefined,undefined,vapor,4252.53941,4877.556,8.03490565
1390,100,15.836,0.063147,4273.9,4913.7,8.0542,2.106,2.5987,887.44,0.15869,undefined,undefined,vapor,4273.73941,4903.456,8.05370565
1400,100,15.719,0.063618,4295.1,4939.7,8.0728,2.1116,2.6036,890.5,0.15507,undefined,undefined,vapor,4294.93941,4929.456,8.07230565
1410,100,15.604,0.064088,4316.4,4965.8,8.0914,2.1172,2.6084,893.55,0.15154,undefined,undefined,vapor,4316.23941,4955.556,8.09090565
1420,100,15.49,0.064558,4337.8,4991.9,8.1098,2.1227,2.6133,896.59,0.1481,undefined,undefined,vapor,4337.63941,4981.656,8.10930565
1430,100,15.378,0.065027,4359.2,5018.1,8.1282,2.1282,2.6182,899.62,0.14474,undefined,undefined,vapor,4359.03941,5007.856,8.12770565
1440,100,15.268,0.065496,4380.6,5044.3,8.1465,2.1337,2.623,902.63,0.14146,undefined,undefined,vapor,4380.43941,5034.056,8.14600565
1450,100,15.16,0.065965,4402.1,5070.5,8.1646,2.1392,2.6278,905.63,0.13827,undefined,undefined,vapor,4401.93941,5060.256,8.16410565
1460,100,15.053,0.066434,4423.7,5096.8,8.1827,2.1446,2.6326,908.62,0.13515,undefined,undefined,vapor,4423.53941,5086.556,8.18220565
1470,100,14.947,0.066902,4445.3,5123.2,8.2007,2.1499,2.6375,911.59,0.13211,undefined,undefined,vapor,4445.13941,5112.956,8.20020565
1480,100,14.843,0.06737,4466.9,5149.6,8.2186,2.1553,2.6422,914.56,0.12914,undefined,undefined,vapor,4466.73941,5139.356,8.21810565
1490,100,14.741,0.067837,4488.7,5176,8.2364,2.1606,2.647,917.51,0.12623,undefined,undefined,vapor,4488.53941,5165.756,8.23590565
1500,100,14.64,0.068305,4510.4,5202.5,8.2541,2.1659,2.6518,920.45,0.1234,undefined,undefined,vapor,4510.23941,5192.256,8.25360565
1510,100,14.541,0.068772,4532.2,5229,8.2718,2.1711,2.6565,923.37,0.12063,undefined,undefined,vapor,4532.03941,5218.756,8.27130565
1520,100,14.443,0.069239,4554.1,5255.6,8.2893,2.1763,2.6612,926.29,0.11793,undefined,undefined,vapor,4553.93941,5245.356,8.28880565
1530,100,14.346,0.069706,4576,5282.3,8.3068,2.1815,2.6659,929.19,0.11529,undefined,undefined,vapor,4575.83941,5272.056,8.30630565
1540,100,14.251,0.070172,4597.9,5309,8.3242,2.1867,2.6706,932.09,0.11271,undefined,undefined,vapor,4597.73941,5298.756,8.32370565
1550,100,14.157,0.070639,4619.9,5335.7,8.3415,2.1918,2.6752,934.97,0.11018,undefined,undefined,vapor,4619.73941,5325.456,8.34100565
1560,100,14.064,0.071105,4642,5362.5,8.3587,2.1969,2.6799,937.84,0.10772,undefined,undefined,vapor,4641.83941,5352.256,8.35820565
1570,100,13.972,0.07157,4664.1,5389.3,8.3758,2.2019,2.6845,940.71,0.1053,undefined,undefined,vapor,4663.93941,5379.056,8.37530565
1580,100,13.882,0.072036,4686.2,5416.1,8.3929,2.2069,2.689,943.56,0.10294,undefined,undefined,vapor,4686.03941,5405.856,8.39240565
1590,100,13.793,0.072502,4708.4,5443.1,8.4099,2.2119,2.6936,946.4,0.10064,undefined,undefined,vapor,4708.23941,5432.856,8.40940565
1600,100,13.705,0.072967,4730.7,5470,8.4268,2.2168,2.6981,949.23,0.098381,undefined,undefined,vapor,4730.53941,5459.756,8.42630565
1610,100,13.618,0.073432,4753,5497,8.4436,2.2217,2.7026,952.05,0.096173,undefined,undefined,vapor,4752.83941,5486.756,8.44310565
1620,100,13.532,0.073897,4775.3,5524.1,8.4603,2.2266,2.7071,954.87,0.094013,undefined,undefined,vapor,4775.13941,5513.856,8.45980565
1630,100,13.448,0.074361,4797.7,5551.2,8.477,2.2314,2.7116,957.67,0.091899,undefined,undefined,vapor,4797.53941,5540.956,8.47650565
1640,100,13.364,0.074826,4820.1,5578.3,8.4936,2.2362,2.716,960.46,0.089829,undefined,undefined,vapor,4819.93941,5568.056,8.49310565
1650,100,13.282,0.07529,4842.6,5605.5,8.5101,2.2409,2.7204,963.24,0.087804,undefined,undefined,vapor,4842.43941,5595.256,8.50960565
1660,100,13.201,0.075754,4865.1,5632.7,8.5266,2.2456,2.7248,966.02,0.085821,undefined,undefined,vapor,4864.93941,5622.456,8.52610565
1670,100,13.12,0.076218,4887.7,5660,8.543,2.2503,2.7291,968.78,0.083879,undefined,undefined,vapor,4887.53941,5649.756,8.54250565
1680,100,13.041,0.076682,4910.3,5687.3,8.5593,2.255,2.7334,971.54,0.081977,undefined,undefined,vapor,4910.13941,5677.056,8.55880565
1690,100,12.962,0.077146,4933,5714.7,8.5755,2.2596,2.7377,974.29,0.080114,undefined,undefined,vapor,4932.83941,5704.456,8.57500565
1700,100,12.885,0.077609,4955.7,5742.1,8.5917,2.2642,2.742,977.03,0.07829,undefined,undefined,vapor,4955.53941,5731.856,8.59120565
1710,100,12.809,0.078073,4978.4,5769.5,8.6078,2.2687,2.7462,979.75,0.076502,undefined,undefined,vapor,4978.23941,5759.256,8.60730565
1720,100,12.733,0.078536,5001.2,5797,8.6238,2.2732,2.7504,982.48,0.07475,undefined,undefined,vapor,5001.03941,5786.756,8.62330565
1730,100,12.658,0.078999,5024,5824.5,8.6397,2.2777,2.7546,985.19,0.073034,undefined,undefined,vapor,5023.83941,5814.256,8.63920565
1740,100,12.585,0.079462,5046.9,5852.1,8.6556,2.2821,2.7588,987.89,0.071351,undefined,undefined,vapor,5046.73941,5841.856,8.65510565
1750,100,12.512,0.079925,5069.8,5879.7,8.6714,2.2865,2.7629,990.59,0.069702,undefined,undefined,vapor,5069.63941,5869.456,8.67090565
1760,100,12.44,0.080388,5092.8,5907.3,8.6872,2.2909,2.767,993.28,0.068085,undefined,undefined,vapor,5092.63941,5897.056,8.68670565
1770,100,12.369,0.08085,5115.8,5935,8.7029,2.2952,2.771,995.96,0.0665,undefined,undefined,vapor,5115.63941,5924.756,8.70240565
1780,100,12.298,0.081312,5138.8,5962.7,8.7185,2.2995,2.7751,998.63,0.064946,undefined,undefined,vapor,5138.63941,5952.456,8.71800565
1790,100,12.229,0.081775,5161.9,5990.5,8.7341,2.3037,2.7791,1001.3,0.063421,undefined,undefined,vapor,5161.73941,5980.256,8.73360565
1800,100,12.16,0.082237,5185.1,6018.3,8.7496,2.308,2.7831,1003.9,0.061926,undefined,undefined,vapor,5184.93941,6008.056,8.74910565
1810,100,12.092,0.082699,5208.2,6046.2,8.765,2.3122,2.787,1006.6,0.060459,undefined,undefined,vapor,5208.03941,6035.956,8.76450565
1820,100,12.025,0.083161,5231.4,6074.1,8.7804,2.3163,2.7909,1009.2,0.05902,undefined,undefined,vapor,5231.23941,6063.856,8.77990565
1830,100,11.958,0.083623,5254.7,6102,8.7957,2.3204,2.7948,1011.9,0.057608,undefined,undefined,vapor,5254.53941,6091.756,8.79520565
1840,100,11.893,0.084085,5278,6130,8.8109,2.3245,2.7987,1014.5,0.056223,undefined,undefined,vapor,5277.83941,6119.756,8.81040565
1850,100,11.828,0.084546,5301.3,6158,8.8261,2.3286,2.8025,1017.1,0.054863,undefined,undefined,vapor,5301.13941,6147.756,8.82560565
1860,100,11.764,0.085008,5324.7,6186,8.8412,2.3326,2.8063,1019.7,0.053529,undefined,undefined,vapor,5324.53941,6175.756,8.84070565
1870,100,11.7,0.085469,5348.1,6214.1,8.8563,2.3366,2.8101,1022.3,0.052219,undefined,undefined,vapor,5347.93941,6203.856,8.85580565
