Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,47,53.671,0.018632,212.69,301.42,5.6682,0.75413,1.1166,362.79,0.32251,18.676,0.028092,supercritical,-9.47999999999999,-9.76999999999998,-1.1735
300,48,54.811,0.018245,212.49,301.22,5.6613,0.75436,1.1182,363.06,0.32109,18.697,0.028147,supercritical,-9.67999999999998,-9.96999999999997,-1.1804
300,49,55.95,0.017873,212.28,301.02,5.6545,0.75458,1.1198,363.33,0.31967,18.718,0.028202,supercritical,-9.88999999999999,-10.17,-1.1872
300,50,57.089,0.017516,212.08,300.82,5.6479,0.7548,1.1214,363.6,0.31826,18.74,0.028258,supercritical,-10.09,-10.37,-1.1938
300,51,58.228,0.017174,211.88,300.62,5.6414,0.75502,1.123,363.87,0.31684,18.761,0.028314,supercritical,-10.29,-10.57,-1.2003
300,52,59.366,0.016845,211.67,300.43,5.635,0.75525,1.1246,364.14,0.31542,18.783,0.02837,supercritical,-10.5,-10.76,-1.2067
300,53,60.503,0.016528,211.47,300.23,5.6287,0.75547,1.1262,364.42,0.314,18.805,0.028426,supercritical,-10.7,-10.96,-1.213
300,54,61.64,0.016223,211.27,300.03,5.6225,0.75569,1.1278,364.7,0.31258,18.827,0.028483,supercritical,-10.9,-11.16,-1.2192
300,55,62.777,0.015929,211.07,299.84,5.6164,0.7559,1.1294,364.98,0.31117,18.849,0.028539,supercritical,-11.1,-11.35,-1.2253
300,56,63.913,0.015646,210.86,299.64,5.6104,0.75612,1.1309,365.26,0.30975,18.871,0.028596,supercritical,-11.31,-11.55,-1.2313
300,57,65.049,0.015373,210.66,299.45,5.6045,0.75634,1.1325,365.55,0.30833,18.894,0.028653,supercritical,-11.51,-11.74,-1.2372
300,58,66.184,0.015109,210.46,299.26,5.5987,0.75656,1.1341,365.84,0.30691,18.916,0.028711,supercritical,-11.71,-11.93,-1.243
300,59,67.319,0.014855,210.26,299.06,5.593,0.75678,1.1357,366.13,0.30549,18.939,0.028768,supercritical,-11.91,-12.13,-1.2487
300,60,68.453,0.014609,210.06,298.87,5.5874,0.75699,1.1372,366.42,0.30408,18.962,0.028826,supercritical,-12.11,-12.32,-1.2543
300,61,69.586,0.014371,209.86,298.68,5.5819,0.75721,1.1388,366.72,0.30266,18.985,0.028883,supercritical,-12.31,-12.51,-1.2598
300,62,70.719,0.01414,209.65,298.49,5.5764,0.75742,1.1404,367.02,0.30124,19.009,0.028941,supercritical,-12.52,-12.7,-1.2653
300,63,71.851,0.013918,209.45,298.3,5.5711,0.75764,1.1419,367.32,0.29983,19.032,0.028999,supercritical,-12.72,-12.89,-1.2706
300,64,72.983,0.013702,209.25,298.11,5.5658,0.75785,1.1435,367.62,0.29841,19.056,0.029057,supercritical,-12.92,-13.08,-1.2759
300,65,74.114,0.013493,209.05,297.92,5.5605,0.75806,1.1451,367.93,0.297,19.079,0.029116,supercritical,-13.12,-13.27,-1.2812
300,66,75.244,0.01329,208.85,297.73,5.5554,0.75827,1.1466,368.23,0.29558,19.103,0.029174,supercritical,-13.32,-13.46,-1.2863
300,67,76.374,0.013094,208.65,297.54,5.5503,0.75849,1.1482,368.54,0.29417,19.127,0.029233,supercritical,-13.52,-13.65,-1.2914
300,68,77.503,0.012903,208.45,297.35,5.5453,0.7587,1.1497,368.85,0.29275,19.151,0.029292,supercritical,-13.72,-13.84,-1.2964
300,69,78.631,0.012718,208.25,297.17,5.5404,0.75891,1.1512,369.17,0.29134,19.176,0.02935,supercritical,-13.92,-14.02,-1.3013
300,70,79.758,0.012538,208.05,296.98,5.5355,0.75912,1.1528,369.48,0.28993,19.2,0.029409,supercritical,-14.12,-14.21,-1.3062
300,71,80.885,0.012363,207.85,296.8,5.5306,0.75933,1.1543,369.8,0.28852,19.225,0.029469,supercritical,-14.32,-14.39,-1.3111
300,72,82.011,0.012194,207.65,296.61,5.5259,0.75953,1.1558,370.12,0.28711,19.25,0.029528,supercritical,-14.52,-14.58,-1.3158
300,73,83.136,0.012028,207.46,296.43,5.5212,0.75974,1.1574,370.45,0.2857,19.274,0.029587,supercritical,-14.71,-14.76,-1.3205
300,74,84.26,0.011868,207.26,296.24,5.5165,0.75995,1.1589,370.77,0.28429,19.299,0.029646,supercritical,-14.91,-14.95,-1.3252
300,75,85.384,0.011712,207.06,296.06,5.5119,0.76016,1.1604,371.1,0.28288,19.325,0.029706,supercritical,-15.11,-15.13,-1.3298
300,76,86.507,0.01156,206.86,295.88,5.5074,0.76036,1.1619,371.43,0.28148,19.35,0.029766,supercritical,-15.31,-15.31,-1.3343
300,77,87.629,0.011412,206.66,295.7,5.5029,0.76057,1.1634,371.76,0.28007,19.375,0.029825,supercritical,-15.51,-15.49,-1.3388
300,78,88.75,0.011268,206.46,295.52,5.4985,0.76077,1.1649,372.1,0.27867,19.401,0.029885,supercritical,-15.71,-15.67,-1.3432
300,79,89.87,0.011127,206.27,295.34,5.4941,0.76097,1.1664,372.43,0.27726,19.427,0.029945,supercritical,-15.9,-15.85,-1.3476
300,80,90.989,0.01099,206.07,295.16,5.4898,0.76118,1.1679,372.77,0.27586,19.453,0.030005,supercritical,-16.1,-16.03,-1.3519
300,81,92.107,0.010857,205.87,294.98,5.4855,0.76138,1.1694,373.12,0.27446,19.479,0.030065,supercritical,-16.3,-16.21,-1.3562
